algorithm,dataset,input_files,merged_rows,pareto_rows,reference_rows,hv,spread,igd,mdh,output_file
RVEA,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,9,9,4,1.1895136590820916,0.3974198721468234,0.025994924725496922,0.24147907577186295,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\RVEA.csv
AGEMOEA,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,2,2,4,0.11832868454899066,1.0034198876436056,0.43210811640556157,1.1782841920444338,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\AGEMOEA.csv
AGEMOEA2,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,2,2,4,0.11832868454899066,1.0034198876436056,0.43210811640556157,1.1782841920444338,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\AGEMOEA2.csv
CTAEA,WA_Fn-UseC_-Telco-Customer-Churn.csv,1,3,3,4,0.5600842315448789,0.8267899665116246,0.29954413462984963,0.9011791999689182,pass_3_outputs\WA_Fn-UseC_-Telco-Customer-Churn\CTAEA.csv
NSGA2,Wine_quality.csv,1,4,4,4,0.7070588235294121,0.7951199223344427,0.19362745098039225,0.800671899542071,pass_3_outputs\Wine_quality\NSGA2.csv
MOEAD,Wine_quality.csv,1,3,3,4,0.43142857142857194,0.7864195111605468,0.35119047619047644,0.9189664771818841,pass_3_outputs\Wine_quality\MOEAD.csv
NSGA3,Wine_quality.csv,1,4,4,4,0.7070588235294121,0.7951199223344427,0.19362745098039225,0.800671899542071,pass_3_outputs\Wine_quality\NSGA3.csv
UNSGA3,Wine_quality.csv,1,4,4,4,0.7070588235294121,0.7951199223344428,0.19362745098039225,0.800671899542071,pass_3_outputs\Wine_quality\UNSGA3.csv
RNSGA3,Wine_quality.csv,1,1,1,4,0.11000000000000011,,0.9574423484464818,1.0,pass_3_outputs\Wine_quality\RNSGA3.csv
RVEA,Wine_quality.csv,1,9,9,4,0.802857142857143,0.583834207666576,0.17261904761904773,0.7841474845834449,pass_3_outputs\Wine_quality\RVEA.csv
AGEMOEA,Wine_quality.csv,1,4,4,4,0.7070588235294121,0.7951199223344427,0.19362745098039225,0.800671899542071,pass_3_outputs\Wine_quality\AGEMOEA.csv
AGEMOEA2,Wine_quality.csv,1,4,4,4,0.7070588235294121,0.7951199223344427,0.19362745098039225,0.800671899542071,pass_3_outputs\Wine_quality\AGEMOEA2.csv
CTAEA,Wine_quality.csv,1,3,3,4,0.43142857142857194,0.7864195111605469,0.35119047619047644,0.9189664771818841,pass_3_outputs\Wine_quality\CTAEA.csv
NSGA2,xomo_flight.csv,1,2,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_3_outputs\xomo_flight\NSGA2.csv
MOEAD,xomo_flight.csv,1,2,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_3_outputs\xomo_flight\MOEAD.csv
NSGA3,xomo_flight.csv,1,2,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_3_outputs\xomo_flight\NSGA3.csv
UNSGA3,xomo_flight.csv,1,2,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_3_outputs\xomo_flight\UNSGA3.csv
RNSGA3,xomo_flight.csv,1,1,1,2,0.13310000000000013,,0.8660254037844386,1.0,pass_3_outputs\xomo_flight\RNSGA3.csv
RVEA,xomo_flight.csv,1,26,26,2,1.4640944145634496,0.5199784790048995,0.0,0.41773896200977867,pass_3_outputs\xomo_flight\RVEA.csv
AGEMOEA,xomo_flight.csv,1,2,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_3_outputs\xomo_flight\AGEMOEA.csv
AGEMOEA2,xomo_flight.csv,1,2,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_3_outputs\xomo_flight\AGEMOEA2.csv
CTAEA,xomo_flight.csv,1,2,2,2,0.14410000000000017,1.7320508075688772,0.0,1.2071067811865475,pass_3_outputs\xomo_flight\CTAEA.csv
NSGA2,xomo_ground.csv,1,8,8,8,1.0198653775870905,0.9291755534168057,0.07584555070353016,0.8498382061647658,pass_3_outputs\xomo_ground\NSGA2.csv
MOEAD,xomo_ground.csv,1,3,3,8,0.7290713782404648,0.5982002535723692,0.4673694811662584,0.7018597351233389,pass_3_outputs\xomo_ground\MOEAD.csv
NSGA3,xomo_ground.csv,1,9,9,8,1.0201756681129868,0.8793359849315229,0.07584555070353016,0.8505461581336978,pass_3_outputs\xomo_ground\NSGA3.csv
UNSGA3,xomo_ground.csv,1,9,9,8,1.0201756681129868,0.879335984931523,0.07584555070353016,0.8505461581336978,pass_3_outputs\xomo_ground\UNSGA3.csv
RNSGA3,xomo_ground.csv,1,2,2,8,0.517218559127793,1.0871298370255358,0.5483734753194331,0.8722449909814866,pass_3_outputs\xomo_ground\RNSGA3.csv
RVEA,xomo_ground.csv,1,55,55,8,1.4564193283968185,0.6181004192909975,0.007452364347664756,0.5956455559831209,pass_3_outputs\xomo_ground\RVEA.csv
AGEMOEA,xomo_ground.csv,1,9,9,8,1.0201756681129865,0.8793359849315228,0.07584555070353016,0.8505461581336978,pass_3_outputs\xomo_ground\AGEMOEA.csv
AGEMOEA2,xomo_ground.csv,1,9,9,8,1.0201756681129865,0.8793359849315229,0.07584555070353016,0.8505461581336979,pass_3_outputs\xomo_ground\AGEMOEA2.csv
CTAEA,xomo_ground.csv,1,9,9,8,1.0201756681129865,0.8793359849315229,0.07584555070353016,0.8505461581336977,pass_3_outputs\xomo_ground\CTAEA.csv
NSGA2,xomo_osp.csv,1,8,8,8,0.7478068091156117,0.8407934623418611,0.11606188249982789,0.9928264906733679,pass_3_outputs\xomo_osp\NSGA2.csv
MOEAD,xomo_osp.csv,1,2,2,8,0.4107759611195708,0.9680724442943445,0.5569409944636572,1.0617714832563991,pass_3_outputs\xomo_osp\MOEAD.csv
NSGA3,xomo_osp.csv,1,7,7,8,0.7477995140717489,0.7082619843558104,0.29678961235962026,0.9306052789977651,pass_3_outputs\xomo_osp\NSGA3.csv
UNSGA3,xomo_osp.csv,1,7,7,8,0.7477995140717489,0.7082619843558104,0.29678961235962026,0.9306052789977651,pass_3_outputs\xomo_osp\UNSGA3.csv
RNSGA3,xomo_osp.csv,1,2,2,8,0.4826809806587486,1.1197453560015158,0.5461868718297594,0.9481577571668418,pass_3_outputs\xomo_osp\RNSGA3.csv
RVEA,xomo_osp.csv,1,37,37,8,1.4388672569729917,0.5420033619497953,0.0017258850460534214,0.4742798842527402,pass_3_outputs\xomo_osp\RVEA.csv
AGEMOEA,xomo_osp.csv,1,8,8,8,0.7478068091156117,0.8407934623418611,0.11606188249982789,0.9928264906733679,pass_3_outputs\xomo_osp\AGEMOEA.csv
AGEMOEA2,xomo_osp.csv,1,7,7,8,0.6424308019091657,0.9939095494281298,0.15641158343412098,1.0899408801062653,pass_3_outputs\xomo_osp\AGEMOEA2.csv
CTAEA,xomo_osp.csv,1,9,9,8,0.7484282770049042,0.9086488601874287,0.0831515219833803,1.0369518248502438,pass_3_outputs\xomo_osp\CTAEA.csv
NSGA2,xomo_osp2.csv,1,16,16,23,0.7703874776604667,0.8209848425353281,0.06077008755231485,0.9897806549684391,pass_3_outputs\xomo_osp2\NSGA2.csv
MOEAD,xomo_osp2.csv,1,4,4,23,0.5678099101658736,0.6968468362449173,0.4971135273485204,0.942019054574435,pass_3_outputs\xomo_osp2\MOEAD.csv
NSGA3,xomo_osp2.csv,1,14,14,23,0.7566087383049346,0.8375035755654952,0.0753964068113428,1.0265539017535903,pass_3_outputs\xomo_osp2\NSGA3.csv
UNSGA3,xomo_osp2.csv,1,14,14,23,0.7566087383049345,0.8375035755654954,0.0753964068113428,1.0265539017535905,pass_3_outputs\xomo_osp2\UNSGA3.csv
RNSGA3,xomo_osp2.csv,1,1,1,23,0.1587505855394861,,0.8449364025832705,1.0044294620878076,pass_3_outputs\xomo_osp2\RNSGA3.csv
RVEA,xomo_osp2.csv,1,59,59,23,1.3185844891972074,0.5606971685260449,0.014287833597391946,0.6404564371084326,pass_3_outputs\xomo_osp2\RVEA.csv
AGEMOEA,xomo_osp2.csv,1,15,15,23,0.871474724321028,0.7811603704738073,0.06977928694794702,0.9216227672678258,pass_3_outputs\xomo_osp2\AGEMOEA.csv
AGEMOEA2,xomo_osp2.csv,1,14,14,23,0.7034909480608991,0.8305073769669202,0.11205018479057015,1.0046988883985202,pass_3_outputs\xomo_osp2\AGEMOEA2.csv
CTAEA,xomo_osp2.csv,1,17,17,23,0.7703910499809659,0.8207669210272983,0.06077008755231485,1.002958610284345,pass_3_outputs\xomo_osp2\CTAEA.csv
