algorithm,dataset,reference_rows,hv,spread,igd,mdh,output_file
MOEAD,pom3a.csv,11,0.977312521268083,,0.6691801842260771,0.29230370143133655,outputs\pass3\MOEAD\pom3a.csv
NSGA3,pom3a.csv,11,1.0600075154301323,0.6413345385241194,0.2904741285998301,0.7122061595346614,outputs\pass3\NSGA3\pom3a.csv
UNSGA3,pom3a.csv,11,1.0747375032030728,0.6127370212621666,0.2685288041197343,0.6444354873952164,outputs\pass3\UNSGA3\pom3a.csv
RNSGA3,pom3a.csv,11,0.9966929935733688,1.1297736148820157,0.49963759213801223,0.6918044340993441,outputs\pass3\RNSGA3\pom3a.csv
RVEA,pom3a.csv,11,1.2938677881081135,0.46007723322427885,0.07966075879187619,0.49271999578265296,outputs\pass3\RVEA\pom3a.csv
AGEMOEA,pom3a.csv,11,1.0520621937484613,0.6306336507422701,0.3490284581765018,0.7621158506000473,outputs\pass3\AGEMOEA\pom3a.csv
AGEMOEA2,pom3a.csv,11,1.0603038369381785,0.5745890227427398,0.28592616896689377,0.6795380768598154,outputs\pass3\AGEMOEA2\pom3a.csv
CTAEA,pom3a.csv,11,1.0752989491096936,0.6115904197121609,0.2706280459383421,0.6459524520182008,outputs\pass3\CTAEA\pom3a.csv
NSGA2,pom3b.csv,12,1.2544726322741093,0.7257442180122343,0.2902060789988819,0.5562029557754139,outputs\pass3\NSGA2\pom3b.csv
MOEAD,pom3b.csv,12,1.2975543984463542,0.2695553174432483,0.48234601920308046,0.18443522568004053,outputs\pass3\MOEAD\pom3b.csv
NSGA3,pom3b.csv,12,1.257078930868806,0.7258409129725485,0.28169443748163325,0.5397567135003859,outputs\pass3\NSGA3\pom3b.csv
UNSGA3,pom3b.csv,12,1.2570789308688055,0.7258409129725484,0.28169443748163325,0.5397567135003859,outputs\pass3\UNSGA3\pom3b.csv
RNSGA3,pom3b.csv,12,1.2142533811801304,1.096696732798236,0.3218437108895243,0.7140773406403751,outputs\pass3\RNSGA3\pom3b.csv
RVEA,pom3b.csv,12,1.2938612578959892,0.48847839288286704,0.03655812598029694,0.45455962875452754,outputs\pass3\RVEA\pom3b.csv
AGEMOEA,pom3b.csv,12,1.254472632274109,0.7257442180122343,0.2902060789988819,0.5562029557754139,outputs\pass3\AGEMOEA\pom3b.csv
AGEMOEA2,pom3b.csv,12,1.254472632274109,0.7257442180122343,0.2902060789988819,0.5562029557754139,outputs\pass3\AGEMOEA2\pom3b.csv
CTAEA,pom3b.csv,12,1.2576345163583216,0.6529444768662714,0.28169443748163325,0.5075991870693134,outputs\pass3\CTAEA\pom3b.csv
NSGA2,pom3c.csv,15,1.1632273681740821,0.6397772916403371,0.15257931161406904,0.7143579003517773,outputs\pass3\NSGA2\pom3c.csv
MOEAD,pom3c.csv,15,1.210147879678654,0.3391628252166778,0.5404558246521526,0.28688602233851623,outputs\pass3\MOEAD\pom3c.csv
NSGA3,pom3c.csv,15,1.1004893130640225,0.6410395411594714,0.11064124431390664,0.7008122447788404,outputs\pass3\NSGA3\pom3c.csv
UNSGA3,pom3c.csv,15,1.147592880214527,0.5645582883939446,0.1802631127715459,0.6773793776095256,outputs\pass3\UNSGA3\pom3c.csv
RNSGA3,pom3c.csv,15,0.37262203893072265,1.2991944092193146,0.45125804791187,0.9788558736081852,outputs\pass3\RNSGA3\pom3c.csv
RVEA,pom3c.csv,15,1.2016650121329062,0.568086213707538,0.1255383683448577,0.6616184278649473,outputs\pass3\RVEA\pom3c.csv
AGEMOEA,pom3c.csv,15,1.166721893882185,0.6218163738285533,0.12330434999544602,0.690653579963376,outputs\pass3\AGEMOEA\pom3c.csv
AGEMOEA2,pom3c.csv,15,1.1863454706649381,0.5949829340019533,0.14824967641819478,0.6429652851682387,outputs\pass3\AGEMOEA2\pom3c.csv
CTAEA,pom3c.csv,15,1.1858129980275898,0.6068143312516762,0.14975359555002837,0.6622576369527556,outputs\pass3\CTAEA\pom3c.csv
NSGA2,Scrum100k.csv,23,0.6606296296296299,0.6995276224793696,0.08995127492421358,1.0133889416476067,outputs\pass3\NSGA2\Scrum100k.csv
MOEAD,Scrum100k.csv,23,0.47843386243386277,0.5581517118212599,0.243727113009941,1.031200454309185,outputs\pass3\MOEAD\Scrum100k.csv
NSGA3,Scrum100k.csv,23,0.7415820105820109,0.7397352603067106,0.038591672182254906,0.9833090790491006,outputs\pass3\NSGA3\Scrum100k.csv
UNSGA3,Scrum100k.csv,23,0.7415820105820109,0.7397352603067106,0.038591672182254906,0.9833090790491006,outputs\pass3\UNSGA3\Scrum100k.csv
RNSGA3,Scrum100k.csv,23,0.2851496598639458,1.2471827663208426,0.5034236901390522,1.008269177901561,outputs\pass3\RNSGA3\Scrum100k.csv
RVEA,Scrum100k.csv,23,0.7668333333333336,0.6664287433883409,0.03239252810690899,0.9308709055727287,outputs\pass3\RVEA\Scrum100k.csv
AGEMOEA,Scrum100k.csv,23,0.7414497354497357,0.7381884355702673,0.030193236714975855,0.9889426078938465,outputs\pass3\AGEMOEA\Scrum100k.csv
